,best_classifier_training_time,best_classifier_inference_time,best_classifier_recall,best_classifier_precision,best_classifier_f1,best_classifier_TN,best_classifier_FP,best_classifier_FN,best_classifier_TP,best_classifier_auc,best_classifier_p_auc_10,best_classifier_p_auc_20,best_classifier_p_auc_30,training_time_avg,inference_time_avg,auc_avg,auc_std,p_auc_10_avg,p_auc_10_std,p_auc_20_avg,p_auc_20_std,p_auc_30_avg,p_auc_30_std,recall_avg,recall_std
"{'alpha': 0.2, 'beta': 2, 'n_clusters': 2, 'use_weights': True}",1.3702598750001016,0.21552278899935118,0.012578616352201259,0.002263296869105998,0.0038363171355498722,261878.0,2645.0,471.0,6.0,0.8521162585355668,0.5618222026673092,0.6357009282936448,0.7110549840347566,1.4937356129998078,0.21790878580004575,0.8521162585355668,0.0,0.5618222026673092,0.0,0.6357009282936448,0.0,0.7110549840347566,0.0,0.012578616352201259,0.0
"{'alpha': 0.2, 'beta': 2, 'n_clusters': 2, 'use_weights': False}",1.623626728999625,0.23666115199966953,0.029350104821802937,0.005283018867924529,0.008954269267668694,261887.0,2636.0,463.0,14.0,0.8574289026604438,0.5933084057287432,0.6570671148840298,0.7213613421014708,1.4959100982001474,0.23503469019997283,0.8574289026604438,0.0,0.5933084057287432,0.0,0.6570671148840298,0.0,0.7213613421014708,0.0,0.029350104821802937,0.0
"{'alpha': 0.2, 'beta': 2, 'n_clusters': 4, 'use_weights': True}",2.190035341001021,0.2474960959989403,0.010482180293501049,0.001886080724254998,0.0031969309462915596,261877.0,2646.0,472.0,5.0,0.8493683274092567,0.5505773643303774,0.6273310836219812,0.7059547276587164,2.205917088199931,0.21601946099972338,0.8490847173502154,0.00014246749625255203,0.5504138936598528,8.174147586758525e-05,0.6268570317473271,0.00023793343507885387,0.705398893681903,0.00027908669520907304,0.010482180293501049,0.0
"{'alpha': 0.2, 'beta': 2, 'n_clusters': 4, 'use_weights': False}",4.371517537001637,0.3213448749984309,0.027253668763102725,0.004901960784313725,0.008309364014062001,261884.0,2639.0,464.0,13.0,0.8479642574227851,0.5781869182327702,0.6396553056430951,0.7027671258925361,2.7181257498001288,0.23218236439988688,0.8477843726951859,0.00018952986350410543,0.5779235610135188,0.00015093419357200606,0.6393200376141457,0.0003046040383549131,0.7024174907470403,0.00036451328320388787,0.02725366876310272,3.469446951953614e-18
"{'alpha': 0.2, 'beta': 4, 'n_clusters': 2, 'use_weights': True}",1.3377318630004993,0.2515538219990958,0.012578616352201259,0.002263296869105998,0.0038363171355498722,261878.0,2645.0,471.0,6.0,0.8521162585355668,0.5618222026673092,0.6357009282936448,0.7110549840347566,1.3368005648007055,0.22317780579978716,0.8521162585355668,0.0,0.5618222026673092,0.0,0.6357009282936448,0.0,0.7110549840347566,0.0,0.012578616352201259,0.0
"{'alpha': 0.2, 'beta': 4, 'n_clusters': 2, 'use_weights': False}",1.2787293220003448,0.19277765100014221,0.029350104821802937,0.005283018867924529,0.008954269267668694,261887.0,2636.0,463.0,14.0,0.8574289026604438,0.5933084057287432,0.6570671148840298,0.7213613421014708,1.4298579660005089,0.20767759479967934,0.8574289026604438,0.0,0.5933084057287432,0.0,0.6570671148840298,0.0,0.7213613421014708,0.0,0.029350104821802937,0.0
"{'alpha': 0.2, 'beta': 4, 'n_clusters': 4, 'use_weights': True}",2.111776084999292,0.1891318299994964,0.010482180293501049,0.001886080724254998,0.0031969309462915596,261877.0,2646.0,472.0,5.0,0.8494288453443484,0.5505773643303774,0.6273310836219812,0.7059741680640204,2.514226951599812,0.2300655108002502,0.8491437992127772,0.00014322103216310423,0.5504138936598528,8.174147586758525e-05,0.6268570317473271,0.00023793343507885387,0.7054176161441813,0.00027949091159898854,0.010482180293501049,0.0
"{'alpha': 0.2, 'beta': 4, 'n_clusters': 4, 'use_weights': False}",2.0528383499986376,0.21483525200073927,0.027253668763102725,0.004903809883062995,0.008312020460358057,261885.0,2638.0,464.0,13.0,0.8490494828510233,0.5803676978786574,0.6420213359641675,0.7048836592277891,2.2787343394001254,0.21296391360065173,0.8490972504909374,0.00011362838281024573,0.5803501786947789,2.044042687302424e-05,0.6420999166413085,0.00017231276514794691,0.7049734639547622,0.00021743905440123242,0.02725366876310272,3.469446951953614e-18
"{'alpha': 0.2, 'beta': 8, 'n_clusters': 2, 'use_weights': True}",1.5312610999999379,0.2576850379991811,0.012578616352201259,0.002263296869105998,0.0038363171355498722,261878.0,2645.0,471.0,6.0,0.8521162585355668,0.5618222026673092,0.6357009282936448,0.7110549840347566,1.4636971925994657,0.21292550679909256,0.8521162585355668,0.0,0.5618222026673092,0.0,0.6357009282936448,0.0,0.7110549840347566,0.0,0.012578616352201259,0.0
"{'alpha': 0.2, 'beta': 8, 'n_clusters': 2, 'use_weights': False}",1.2743905239985907,0.20990601999847058,0.029350104821802937,0.005283018867924529,0.008954269267668694,261887.0,2636.0,463.0,14.0,0.8574289026604438,0.5933084057287432,0.6570671148840298,0.7213613421014708,1.362807669400354,0.21593489419947218,0.8574289026604438,0.0,0.5933084057287432,0.0,0.6570671148840298,0.0,0.7213613421014708,0.0,0.029350104821802937,0.0
"{'alpha': 0.2, 'beta': 8, 'n_clusters': 4, 'use_weights': True}",2.615450961001443,0.2208983510008693,0.010482180293501049,0.001886080724254998,0.0031969309462915596,261877.0,2646.0,472.0,5.0,0.8495755672579617,0.5505773643303774,0.6273318541416426,0.7060156626845181,2.2690301554000145,0.20963400740001817,0.8492901803365516,0.00014351386859148764,0.5504138936598528,8.174147586758525e-05,0.6268578022669884,0.00023793343507888605,0.7054573951605658,0.0002804099090133406,0.010482180293501049,0.0
"{'alpha': 0.2, 'beta': 8, 'n_clusters': 4, 'use_weights': False}",2.195024171998739,0.2672425920009118,0.029350104821802937,0.005283018867924529,0.008954269267668694,261887.0,2636.0,463.0,14.0,0.8511197969723138,0.5840923139123624,0.646515867409572,0.7089255852226444,2.2218651328003944,0.24294332380004563,0.8511439217227614,0.0001025826655031838,0.5840537308297337,2.4844444162396524e-05,0.6465534291423194,0.00015441676173525874,0.7089744578732222,0.0001963770460731829,0.029350104821802937,0.0
"{'alpha': 0.2, 'beta': 16, 'n_clusters': 2, 'use_weights': True}",1.4366253419993882,0.2040399619991149,0.012578616352201259,0.002263296869105998,0.0038363171355498722,261878.0,2645.0,471.0,6.0,0.8521162585355668,0.5618222026673092,0.6357009282936448,0.7110549840347566,1.4977688723996834,0.21539645599987126,0.8521162585355668,0.0,0.5618222026673092,0.0,0.6357009282936448,0.0,0.7110549840347566,0.0,0.012578616352201259,0.0
"{'alpha': 0.2, 'beta': 16, 'n_clusters': 2, 'use_weights': False}",1.510191662001489,0.19528257599995413,0.029350104821802937,0.005283018867924529,0.008954269267668694,261887.0,2636.0,463.0,14.0,0.8574289026604438,0.5933084057287432,0.6570671148840298,0.7213613421014708,1.3917967966006473,0.21628088180041233,0.8574289026604438,0.0,0.5933084057287432,0.0,0.6570671148840298,0.0,0.7213613421014708,0.0,0.029350104821802937,0.0
