,{}
best_classifier_training_time,2.2532634189992677
best_classifier_inference_time,4.577786320998712
best_classifier_recall,0.17066666666666666
best_classifier_precision,0.006069802731411229
best_classifier_f1,0.011722685227584944
best_classifier_TN,3145580
best_classifier_FP,31440
best_classifier_FN,933
best_classifier_TP,192
best_classifier_auc,0.9730450918715582
best_classifier_p_auc_10,0.8581320624818851
best_classifier_p_auc_20,0.925125255198773
best_classifier_p_auc_30,0.9471472389638396
training_time_avg,2.2532634189992677
inference_time_avg,4.577786320998712
auc_avg,0.9730450918715582
auc_std,0.0
p_auc_10_avg,0.8581320624818851
p_auc_10_std,0.0
p_auc_20_avg,0.925125255198773
p_auc_20_std,0.0
p_auc_30_avg,0.9471472389638396
p_auc_30_std,0.0
recall_avg,0.17066666666666666
recall_std,0.0
