,"{'alpha': 0.2, 'beta': 2, 'n_clusters': 2, 'use_weights': False}"
best_classifier_training_time,0.7510612360019877
best_classifier_inference_time,0.04920081099771778
best_classifier_recall,0.029574861367837338
best_classifier_precision,0.003205128205128205
best_classifier_f1,0.0057834809325862995
best_classifier_TN,524218
best_classifier_FP,4976
best_classifier_FN,525
best_classifier_TP,16
best_classifier_auc,0.9320392354495898
best_classifier_p_auc_10,0.6890924382973836
best_classifier_p_auc_20,0.8112200984710825
best_classifier_p_auc_30,0.866743598920764
training_time_avg,0.6859021144002326
inference_time_avg,0.04579162279915181
auc_avg,0.9320392354495898
auc_std,0.0
p_auc_10_avg,0.6890924382973836
p_auc_10_std,0.0
p_auc_20_avg,0.8112200984710825
p_auc_20_std,0.0
p_auc_30_avg,0.8667435989207639
p_auc_30_std,1.1102230246251565e-16
recall_avg,0.029574861367837334
recall_std,3.469446951953614e-18
